,TT_74FS,XGS600_T1,XGS600_T2,XGS600_T3,XGS600_T4
2025-09-18 11:01:51.295832-05:00,1.1,1919.0,,13.33,0.9189
2025-09-18 11:01:52.296281-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:01:53.311533-05:00,1.1,1919.0,,13.33,0.9189
2025-09-18 11:01:54.312124-05:00,1.1,1919.0,,13.33,0.9189
2025-09-18 11:01:55.296052-05:00,1.1,1919.0,,13.33,0.9211
2025-09-18 11:01:56.295997-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:01:57.311573-05:00,1.1,1919.0,,13.33,0.9255
2025-09-18 11:01:58.332231-05:00,1.1,1919.0,,13.33,0.9211
2025-09-18 11:01:59.314488-05:00,1.1,1919.0,,13.33,0.9255
2025-09-18 11:02:00.327043-05:00,1.1,1919.0,,13.33,0.9255
2025-09-18 11:02:01.327691-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:02:02.327799-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:02:03.312030-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:02:04.327004-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:02:05.311841-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:02:06.343179-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:02:07.327211-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:02:08.327340-05:00,1.1,1919.0,,13.33,0.9189
2025-09-18 11:02:09.327556-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:02:10.342831-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:02:11.327493-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:02:12.343431-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:02:13.343538-05:00,1.1,1919.0,,13.33,0.9211
2025-09-18 11:02:14.327364-05:00,1.1,1919.0,,13.33,0.9211
2025-09-18 11:02:15.327484-05:00,1.1,1917.0,,13.33,0.9189
2025-09-18 11:02:16.363083-05:00,1.1,1917.0,,13.33,0.9189
